Radio ID*,Radio Serial Number,Radio User Alias+,Security Group+,Radio Capability Profile+,Radio Site Access Profile+,Primary Talkgroup,Voice Enabled,Interconnect Enabled,Emergency Alarm Comments,Secure Communication Mode,Data Capability,Direct Dial Number,Secure Land to Mobile Start Mode,Interconnect Subsystem,Radio User Interconnect Profile,Interconnect Secure Key Reference,IP Address Assignment,IP Address,Generate ICMP Message,Source Address Checking,Ready Timer (sec),Data Agency Group,Data Steering Profile,Access Point Name,Notes,Date Modified,Trunking Subscriber Type
4815201,527cnm0638,vl bc43,1,815,815,1114,Yes,No,,Both,No Data Service,,Clear,,,,Dynamic,0.0.0.0,On,On,10,,,,,"Sep-27-2017, 12:21:35",IVD Radio
4815056,481CNP3852,unk-update need3,1,815,815,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Nov-14-2018, 16:23:39",IVD Radio
4818104,Need_update,error,1,4,4,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Dec-13-2018, 14:03:20",IVD Radio
4805019,426CNP0295,WWU 9,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:46:50",IVD Radio
4805018,426CNP0303,WWU 8,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:46:50",IVD Radio
4805017,426CNP0302,WWU 7,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:46:50",IVD Radio
4805016,426CNP0301,WWU 6,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:46:50",IVD Radio
4805015,426CNP0300,WWU 5,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:46:50",IVD Radio
4805014,426CNP0299,WWU 4,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:46:50",IVD Radio
4805013,426CNP0298,WWU 3,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:46:50",IVD Radio
4805012,426CNP0297,WWU 2,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:46:49",IVD Radio
4805011,426CNP0294,WWU 10,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:46:49",IVD Radio
4805010,426CNP0296,WWU 1,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:46:49",IVD Radio
4805009,426CNP0293,WWPW 6,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:46:49",IVD Radio
4805008,426CNP0292,WWPW 5,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:46:49",IVD Radio
4805007,426CNP0291,WWPW 4,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:46:49",IVD Radio
4805006,426CNP0290,WWPW 3,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:46:49",IVD Radio
4805005,426CNP0289,WWPW 2,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:46:49",IVD Radio
4805004,426CNP0288,WWPW 1,1,805,805,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:46:49",IVD Radio
4816072,781CNP4229,WWPD SR2,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:47:22",IVD Radio
4804006,481CNP4277,WWPD S63,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Jun-19-2018, 08:34:19",IVD Radio
4816081,481CNP4214,WWPD P71,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Jun-19-2018, 08:39:28",IVD Radio
4816040,481CNP4258,WWPD P70,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Jun-19-2018, 08:33:03",IVD Radio
4816012,481CNP4235,WWPD P69,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Jun-19-2018, 08:30:49",IVD Radio
4816031,481CNP4245,WWPD P68,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Jun-19-2018, 08:35:57",IVD Radio
4816022,481CNP4246,WWPD P67,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Jun-19-2018, 08:35:07",IVD Radio
4816043,481CNP4260,WWPD P40,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Jun-19-2018, 08:41:54",IVD Radio
4816024,481CNP4051,WWPD P23,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Jun-19-2018, 08:32:01",IVD Radio
4816070,827CNP2125,WWPD MOB CMND,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:47:22",IVD Radio
4816035,481CNP4254,WWPD L10,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Jun-19-2018, 08:28:55",IVD Radio
4816100,527CSR0095,WWPD ENKD61 M,1,816,816,1707,Yes,No,,Both,No Data Service,,Clear,,,,Dynamic,0.0.0.0,On,On,10,,,,,"Jan-02-2018, 13:07:28",IVD Radio
4816069,827CNM0602,WWPD DISP 3,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:47:22",IVD Radio
4816068,827CNM0613,WWPD DISP 2,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:47:22",IVD Radio
4816067,827CNM0612,WWPD DISP 1,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:47:22",IVD Radio
4816066,827CNP2061,WWPD 9999 M,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:47:22",IVD Radio
4816075,527CNM0585,WWPD 9695 M,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:47:22",IVD Radio
4816099,527CSR0091,WWPD 8913 M,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,,,Dynamic,0.0.0.0,On,On,10,,,,,"Nov-17-2017, 12:46:21",IVD Radio
4816065,827CNP2119,WWPD 8276 M,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:47:22",IVD Radio
4816064,827CNP2123,WWPD 815 M,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:47:21",IVD Radio
4816063,827CNP2110,WWPD 813 M,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:47:21",IVD Radio
4816062,827CNP2113,WWPD 812 M,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:47:21",IVD Radio
4816061,827CNP2112,WWPD 734 M,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:47:21",IVD Radio
4816074,527CNM0637,WWPD 686 M,1,816,816,,Yes,No,,Both,No Data Service,,Clear,,1,1,Dynamic,0.0.0.0,On,On,10,,,,,"Apr-09-2016, 23:47:22",IVD Radio
